ensayo,condicion,clase_esperada,mano_detectada,clase_predicha,confianza,comando_emitido
7,lejos,1,1,1,81.10045790672302,-1
7,lejos,1,1,1,89.26250338554382,-1
7,lejos,1,1,1,87.34554052352905,-1
7,lejos,1,1,1,86.50904893875122,-1
7,lejos,1,1,1,87.19270825386047,-1
7,lejos,1,1,1,90.05549550056458,-1
7,lejos,1,1,1,89.21625018119812,-1
7,lejos,1,1,1,89.06250596046448,-1
7,lejos,1,1,1,89.0555202960968,-1
7,lejos,1,1,1,86.51903867721558,-1
7,lejos,1,1,1,90.17871618270874,-1
7,lejos,1,1,1,89.22620415687561,-1
7,lejos,1,1,1,90.17871618270874,-1
7,lejos,1,1,1,90.81714749336243,-1
7,lejos,1,1,1,89.59432244300842,-1
7,lejos,1,1,1,87.02664375305176,-1
7,lejos,1,1,1,88.66990208625793,-1
7,lejos,1,1,1,88.38582634925842,-1
7,lejos,1,1,1,90.73169827461243,-1
7,lejos,1,1,1,92.34280586242676,-1
7,lejos,1,1,1,90.7300353050232,-1
7,lejos,1,1,1,91.27647280693054,-1
